,action,action_nns_function,deadline_timestamp_seconds,decided_timestamp_seconds,executed_timestamp_seconds,failed_timestamp_seconds,id,known_neurons_ballots,latest_tally,payload,proposal_id,proposal_timestamp_seconds,proposer,reject_cost_e8s,reward_status,settled_at,status,summary,title,topic,updated_at,url
0,ExecuteNnsFunction,NnsCanisterUpgrade,,1620340878,1620340878,0.0,1,[],"{'no': 0, 'timestamp_seconds': 1620340878, 'total': 31540000290890139, 'yes': 31539577669890139}","{'arg': [], 'authz_changes': [], 'canister_id': 'ryjl3-tyaaa-aaaaa-aaaba-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': 'b5bacee8032bbfbc48f85010ffe5c857c33c593d0593af2ae3da94df6c8e39ef'}",3,1620339017,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade ledger canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.155180,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
1,ExecuteNnsFunction,NnsCanisterUpgrade,,1620340965,1620340965,0.0,2,[],"{'no': 0, 'timestamp_seconds': 1620340965, 'total': 31540021675640620, 'yes': 31539599054640620}","{'arg': [], 'authz_changes': [], 'canister_id': 'rwlgt-iiaaa-aaaaa-aaaaa-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': '1f00dcc7646c0aa14a19b5e62810302458aa1a71227b0adc161d3e11d1f005a4'}",4,1620339644,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade registry canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.157946,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
2,ExecuteNnsFunction,NnsCanisterUpgrade,,1620341025,1620341025,0.0,3,[],"{'no': 0, 'timestamp_seconds': 1620341025, 'total': 31540022164149466, 'yes': 31539599543149466}","{'arg': [], 'authz_changes': [], 'canister_id': 'rrkah-fqaaa-aaaaa-aaaaq-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': '66cd8288715e1932ae7900388efab95ef11988f72cfef2599435a11a433e4706'}",5,1620339664,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade governance canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.158920,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
3,ExecuteNnsFunction,NnsRootUpgrade,,1620341096,1620341110,0.0,4,[],"{'no': 0, 'timestamp_seconds': 1620341096, 'total': 31540022446105657, 'yes': 31539599825105657}",{},6,1620339678,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade root canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.159834,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
4,ExecuteNnsFunction,NnsCanisterUpgrade,,1620341144,1620341144,0.0,5,[],"{'no': 0, 'timestamp_seconds': 1620341144, 'total': 31540022659210900, 'yes': 31539600038210900}","{'arg': [], 'authz_changes': [], 'canister_id': 'rkp4c-7iaaa-aaaaa-aaaca-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': '672f3d406af95b5dfb1a08fd3e296eabc52dd0eff9a5023f4355f8ab85bb5125'}",7,1620339690,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade cycles-minting canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.160766,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
5,ExecuteNnsFunction,NnsCanisterUpgrade,,1620341195,1620341195,0.0,6,[],"{'no': 0, 'timestamp_seconds': 1620341195, 'total': 31540022769039859, 'yes': 31539600148039859}","{'arg': [], 'authz_changes': [], 'canister_id': 'rno2w-sqaaa-aaaaa-aaacq-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': 'e7444032137bfddcb6eb5f06e8ef7eb5f653c5a6017e77c6cea1c303de0ffe1b'}",8,1620339699,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade lifeline canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.161765,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
6,ExecuteNnsFunction,NnsCanisterUpgrade,,1620341243,1620341243,0.0,7,[],"{'no': 0, 'timestamp_seconds': 1620341243, 'total': 31540022982145126, 'yes': 31539600361145126}","{'arg': [], 'authz_changes': [], 'canister_id': 'renrk-eyaaa-aaaaa-aaada-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': 'e4ffd93a69f14efdbb9dfc401fb368e693d9ef6a8dc65ccad64d8019dcb811c2'}",9,1620339711,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade genesis-token canister to git commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.162822,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210506T2220Z.md
7,ExecuteNnsFunction,SetAuthorizedSubnetworks,,1620394344,1620394344,0.0,8,[],"{'no': 0, 'timestamp_seconds': 1620394344, 'total': 31541843697326414, 'yes': 31541421083326414}","{'subnets': ['pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe'], 'who': ['wl2xv-qoqt6-fzcbu-ixpn2-yi5oo-mh45d-uknsp-dmjnn-wjz6z-okwez-cae']}",14,1620392565,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,SetAuthorizedSubnetworks,,TOPIC_GOVERNANCE,2021-08-05 15:50:43.163747,https://github.com/dfinity/nns-proposals/
8,ExecuteNnsFunction,SetAuthorizedSubnetworks,,1620394888,1620394888,0.0,9,[],"{'no': 0, 'timestamp_seconds': 1620394888, 'total': 31541844598940485, 'yes': 31541421984940485}","{'subnets': ['qxesv-zoxpm-vc64m-zxguk-5sj74-35vrb-tbgwg-pcird-5gr26-62oxl-cae'], 'who': ['2yjpj-uumzi-wnefi-5tum7-qt6yq-7gtxo-i4jt5-enll5-pma6q-2gild-mqe']}",15,1620392597,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,SetAuthorizedSubnetworks,,TOPIC_GOVERNANCE,2021-08-05 15:50:43.164635,https://github.com/dfinity/nns-proposals/
9,ExecuteNnsFunction,SetAuthorizedSubnetworks,,1620395164,1620395164,0.0,10,[],"{'no': 0, 'timestamp_seconds': 1620395164, 'total': 31541845982510737, 'yes': 31541423368510737}","{'subnets': ['snjp4-xlbw4-mnbog-ddwy6-6ckfd-2w5a2-eipqo-7l436-pxqkh-l6fuv-vae'], 'who': ['kr2dh-vd3ks-5hicd-lnens-ehpru-7xoim-by3u6-z6f5d-jglgz-iniqa-kqe']}",16,1620392643,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,SetAuthorizedSubnetworks,,TOPIC_GOVERNANCE,2021-08-05 15:50:43.165593,https://github.com/dfinity/nns-proposals/
10,ExecuteNnsFunction,CreateSubnet,,1620397548,1620397842,,26241,[],"{'no': '0', 'timestamp_seconds': 1620397548.0, 'total': '31541994579527856', 'yes': '31541571970027856'}","{'dkg_dealings_per_block': '1', 'dkg_interval_length': '499', 'gossip_max_artifact_streams_per_peer': 20, 'gossip_max_chunk_size': 4096, 'gossip_max_chunk_wait_ms': 15000, 'gossip_max_duplicity': 1, 'gossip_pfn_evaluation_period_ms': 3000, 'gossip_receive_check_cache_size': 5000, 'gossip_registry_poll_period_ms': 3000, 'gossip_retransmission_request_ms': 60000, 'ingress_bytes_per_block_soft_cap': '2097152', 'initial_notary_delay_millis': '700', 'is_halted': False, 'max_ingress_bytes_per_message': '2097152', 'max_ingress_messages_per_block': '1000', 'node_ids': ['wkhqd-zlhb4-3sism-cm3yk-gexco-6snuy-gicvo-a6b6y-xj6qd-yv6sy-lqe', 'sui46-n5gvt-7fhtt-sr24a-jhhkf-c3u7u-d3nnr-cd7qk-5jdcc-x2psp-nae', 'kajf2-nns3p-icxwb-f4net-ts3ae-v74vv-q5cpx-iiacm-pf3h5-vz42a-pae', '7eg6s-zcooe-d7sav-razjo-dsbc7-ynrqo-z7kqd-qhxnr-pnowh-kb6hp-lae', '3zlk4-pm6r2-on2sg-nrmjm-hhja5-btkje-cyha5-g26jj-ajtfm-lhqgw-lae', 'rlhnf-lkree-y7wrt-gdv3k-cwf7n-ladrd-jjmvx-uy4zr-pz65v-6ptzx-mae', 'leoly-dpjhn-3fzqf-6pnwi-jsvnn-cpocm-33zgx-r4gwo-j5wmw-p33k4-qqe'], 'replica_version_id': '8a560f9510b0df9e747ffaede3b731f2ade9c0b7', 'start_as_nns': False, 'subnet_id_override': [], 'subnet_type': {'verified_application': None}, 'unit_delay_millis': '3000'}",20,1620396948,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Add verified_application subnet number 5 (commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7),,TOPIC_SUBNET_MANAGEMENT,2022-01-27 19:34:17.855156,https://github.com/dfinity/nns-proposals/blob/main/proposals/subnet_management/20210507T1415Z.md
11,ExecuteNnsFunction,UpdateConfigOfSubnet,,1620399724,1620399724,,26242,[],"{'no': '0', 'timestamp_seconds': 1620399724.0, 'total': '31542048214362707', 'yes': '31541625604862707'}","{'dkg_dealings_per_block': [], 'dkg_interval_length': ['499'], 'ingress_bytes_per_block_soft_cap': [], 'initial_notary_delay_millis': ['700'], 'is_halted': [], 'max_artifact_streams_per_peer': [], 'max_chunk_size': [], 'max_chunk_wait_ms': [], 'max_duplicity': [], 'max_ingress_bytes_per_message': [], 'pfn_evaluation_period_ms': [], 'receive_check_cache_size': [], 'registry_poll_period_ms': [], 'retransmission_request_ms': [], 'set_gossip_config_to_default': False, 'start_as_nns': [], 'subnet_id': 'qxesv-zoxpm-vc64m-zxguk-5sj74-35vrb-tbgwg-pcird-5gr26-62oxl-cae', 'subnet_type': [], 'unit_delay_millis': []}",21,1620398506,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Change parameters on application subnet qxesv-zoxpm-vc64m-zxguk-5sj74-35vrb-tbgwg-pcird-5gr26-62oxl-cae,,TOPIC_SUBNET_MANAGEMENT,2022-01-27 19:34:17.868339,https://github.com/dfinity/nns-proposals/blob/main/proposals/subnet_management/20210507T1440Z.md
12,ExecuteNnsFunction,UpdateConfigOfSubnet,,1620399821,1620399821,,26243,[],"{'no': '0', 'timestamp_seconds': 1620399821.0, 'total': '31542057343656805', 'yes': '31541634734156805'}","{'dkg_dealings_per_block': [], 'dkg_interval_length': ['499'], 'ingress_bytes_per_block_soft_cap': [], 'initial_notary_delay_millis': ['700'], 'is_halted': [], 'max_artifact_streams_per_peer': [], 'max_chunk_size': [], 'max_chunk_wait_ms': [], 'max_duplicity': [], 'max_ingress_bytes_per_message': [], 'pfn_evaluation_period_ms': [], 'receive_check_cache_size': [], 'registry_poll_period_ms': [], 'retransmission_request_ms': [], 'set_gossip_config_to_default': False, 'start_as_nns': [], 'subnet_id': 'pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe', 'subnet_type': [], 'unit_delay_millis': []}",22,1620398777,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Change parameters on application subnet pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe,,TOPIC_SUBNET_MANAGEMENT,2022-01-27 19:34:17.869838,https://github.com/dfinity/nns-proposals/blob/main/proposals/subnet_management/20210507T1445Z.md
13,ExecuteNnsFunction,CreateSubnet,,1620399928,1620400371,,26244,[],"{'no': '0', 'timestamp_seconds': 1620399928.0, 'total': '31542072049872148', 'yes': '31541649440372148'}","{'dkg_dealings_per_block': '1', 'dkg_interval_length': '499', 'gossip_max_artifact_streams_per_peer': 20, 'gossip_max_chunk_size': 4096, 'gossip_max_chunk_wait_ms': 15000, 'gossip_max_duplicity': 1, 'gossip_pfn_evaluation_period_ms': 3000, 'gossip_receive_check_cache_size': 5000, 'gossip_registry_poll_period_ms': 3000, 'gossip_retransmission_request_ms': 60000, 'ingress_bytes_per_block_soft_cap': '2097152', 'initial_notary_delay_millis': '700', 'is_halted': False, 'max_ingress_bytes_per_message': '2097152', 'max_ingress_messages_per_block': '1000', 'node_ids': ['6mpxu-ngudg-3fy5l-vlvd3-ijxzp-yqrna-udwn7-tmxki-snirk-47tbf-cae', 'ao6ve-vvia3-auery-nnaew-bjzil-myhgb-ermmu-nonao-jpgil-wenfy-lae', 'lsffd-4udjw-7dq6p-j25ir-5ilpt-hgogt-cf2ob-qyaty-yjpoc-rcr3w-zae', 'uloii-whmw4-af5jl-rocu3-3y7tz-mlfpv-cthxs-6grdl-yqjrv-4fbrq-rae', 'sasee-3a4bn-ehe2m-7nvv3-uh455-hjj2f-6634j-vgofz-aa7wy-naafv-wae', 'au5rh-lfej5-yedeb-7ewln-hdhu3-74efp-2bbny-mdcm4-dwj3a-j26ds-tae', 'ptqo5-ol6re-dgry5-lkb6a-avxgo-ywzmd-hpnah-tqhhv-wtsv5-llwyr-rae'], 'replica_version_id': '8a560f9510b0df9e747ffaede3b731f2ade9c0b7', 'start_as_nns': False, 'subnet_id_override': [], 'subnet_type': {'verified_application': None}, 'unit_delay_millis': '3000'}",23,1620399210,47.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Add verified_application subnet number 6 (commit 8a560f9510b0df9e747ffaede3b731f2ade9c0b7),,TOPIC_SUBNET_MANAGEMENT,2022-01-27 19:34:17.871097,https://github.com/dfinity/nns-proposals/blob/main/proposals/subnet_management/20210507T1453Z.md
14,ExecuteNnsFunction,NnsCanisterUpgrade,,1620401444,1620401444,0.0,11,[],"{'no': 0, 'timestamp_seconds': 1620401444, 'total': 31542134895619511, 'yes': 31541712288119511}","{'arg': [], 'authz_changes': [], 'canister_id': 'rrkah-fqaaa-aaaaa-aaaaq-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': 'b41942edb7c159fb3c5bfd9648a41c3c70c7b864d49b3d30ebe3ee38f053610c'}",25,1620401024,35.0,100000000,SETTLED,2021-05-06 16:00:00.000000,EXECUTED,Upgrade governance canister to git commit 49a621694720b625ee49ad74338a102f7b6fd2de,,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.166503,https://github.com/dfinity/nns-proposals/blob/main/proposals/network_canister_management/20210507T1523Z.md
15,ExecuteNnsFunction,NnsCanisterUpgrade,,1620406167,1620406167,0.0,12,[],"{'no': 0, 'timestamp_seconds': 1620406167, 'total': 31542299000587867, 'yes': 31541876393087867}","{'arg': [], 'authz_changes': [], 'canister_id': 'rdmx6-jaaaa-aaaaa-aaadq-cai', 'mode': 'upgrade', 'stop_before_installing': True, 'wasm_module': 'f43dfe544a2612ec3c4a0ee291fb4d69ccd01df5f2836c804619fe6a52a43ea0'}",26,1620405210,35.0,100000000,SETTLED,2021-05-07 16:00:00.000000,EXECUTED,Upgrade internet identity (commit 756bca59bafac49ab368e190f39c5fae0d2ebdb4),,TOPIC_NETWORK_CANISTER_MANAGEMENT,2021-08-05 15:50:43.167397,https://github.com/dfinity/nns-proposals/blob/main/proposals/identity/2021-05-07T16:09Z.md
